order_id;profit;cargo;cargo_amount;vehicle_type;manhattan_dist;Year;Month;Day
0_730941_2;699;Coal;25;road vehicle;39;2001;4;1
0_730959_38;360;Wood;22;road vehicle;27;2001;4;19
0_730964_15;1834;Iron Ore;60;railway locomotive;50;2001;4;24
0_730975_40;359;Wood;22;road vehicle;27;2001;5;5
1_730976_5;695;Coal;25;road vehicle;39;2001;5;6
0_730980_33;695;Coal;25;road vehicle;39;2001;5;10
0_730995_69;359;Wood;22;road vehicle;27;2001;5;25
0_731011_16;696;Coal;25;road vehicle;39;2001;6;10
0_731016_61;359;Wood;22;road vehicle;27;2001;6;15
0_731021_73;1821;Iron Ore;60;railway locomotive;50;2001;6;20
0_731023_32;699;Coal;25;road vehicle;39;2001;6;22
0_731037_30;360;Wood;22;road vehicle;27;2001;7;6
0_731042_52;360;Wood;22;road vehicle;27;2001;7;11
0_731046_27;695;Coal;25;road vehicle;39;2001;7;15
0_731058_44;698;Coal;25;road vehicle;39;2001;7;27
0_731063_21;360;Wood;22;road vehicle;27;2001;8;1
0_731073_19;1344;Iron Ore;25;road vehicle;29;2001;8;11
0_731079_23;359;Wood;22;road vehicle;27;2001;8;17
1_731081_34;1816;Iron Ore;60;railway locomotive;50;2001;8;19
0_731081_38;695;Coal;25;road vehicle;39;2001;8;19
0_731093_56;698;Coal;25;road vehicle;39;2001;8;31
0_731099_70;1350;Iron Ore;25;road vehicle;29;2001;9;6
1_731099_72;359;Wood;22;road vehicle;27;2001;9;6
0_731120_24;359;Wood;22;road vehicle;27;2001;9;27
0_731122_39;690;Coal;25;road vehicle;39;2001;9;29
0_731125_63;360;Wood;22;road vehicle;27;2001;10;2
1_731126_47;1350;Iron Ore;25;road vehicle;29;2001;10;3
0_731128_68;697;Coal;25;road vehicle;39;2001;10;5
0_731136_46;1822;Iron Ore;60;railway locomotive;50;2001;10;13
0_731146_15;360;Wood;22;road vehicle;27;2001;10;23
0_731153_24;1350;Iron Ore;25;road vehicle;29;2001;10;30
0_731159_33;695;Coal;25;road vehicle;39;2001;11;5
0_731162_60;360;Wood;22;road vehicle;27;2001;11;8
1_731164_6;697;Coal;25;road vehicle;39;2001;11;10
0_731180_1;1350;Iron Ore;25;road vehicle;29;2001;11;26
0_731183_12;360;Wood;22;road vehicle;27;2001;11;29
0_731194_30;1814;Iron Ore;60;railway locomotive;50;2001;12;10
1_731194_45;695;Coal;25;road vehicle;39;2001;12;10
0_731203_55;359;Wood;22;road vehicle;27;2001;12;19
0_731207_54;695;Coal;25;road vehicle;39;2001;12;23
1_731208_69;1350;Iron Ore;25;road vehicle;29;2001;12;24
0_731227_4;359;Wood;22;road vehicle;27;2002;1;12
0_731229_57;695;Coal;25;road vehicle;39;2002;1;14
0_731231_29;360;Wood;22;road vehicle;27;2002;1;16
0_731235_46;1350;Iron Ore;25;road vehicle;29;2002;1;20
0_731242_66;695;Coal;25;road vehicle;39;2002;1;27
0_731247_29;1822;Iron Ore;60;railway locomotive;50;2002;2;1
0_731252_69;360;Wood;22;road vehicle;27;2002;2;6
0_731262_23;1350;Iron Ore;25;road vehicle;29;2002;2;16
0_731266_34;359;Wood;22;road vehicle;27;2002;2;20
0_731268_69;695;Coal;25;road vehicle;39;2002;2;22
0_731278_4;695;Coal;25;road vehicle;39;2002;3;4
0_731286_68;360;Wood;22;road vehicle;27;2002;3;12
0_731289_0;1350;Iron Ore;25;road vehicle;29;2002;3;15
0_731299_23;1829;Iron Ore;60;railway locomotive;50;2002;3;25
0_731306_8;695;Coal;25;road vehicle;39;2002;4;1
0_731307_35;359;Wood;22;road vehicle;27;2002;4;2
0_731315_51;1350;Iron Ore;25;road vehicle;29;2002;4;10
0_731321_65;686;Coal;25;road vehicle;39;2002;4;16
0_731327_69;359;Wood;22;road vehicle;27;2002;4;22
0_731341_20;695;Coal;25;road vehicle;39;2002;5;6
1_731342_28;1350;Iron Ore;25;road vehicle;29;2002;5;7
0_731350_4;1831;Iron Ore;60;railway locomotive;50;2002;5;15
0_731351_47;360;Wood;22;road vehicle;27;2002;5;16
0_731358_59;698;Coal;25;road vehicle;39;2002;5;23
0_731361_30;360;Wood;22;road vehicle;27;2002;5;26
0_731371_22;1350;Iron Ore;25;road vehicle;29;2002;6;5
0_731376_32;695;Coal;25;road vehicle;39;2002;6;10
1_731377_38;360;Wood;22;road vehicle;27;2002;6;11
0_731391_0;359;Wood;22;road vehicle;27;2002;6;25
0_731393_71;697;Coal;25;road vehicle;39;2002;6;27
1_731396_1;1843;Iron Ore;60;railway locomotive;50;2002;6;30
0_731397_73;1350;Iron Ore;25;road vehicle;29;2002;7;1
0_731411_44;695;Coal;25;road vehicle;39;2002;7;15
1_731411_57;359;Wood;22;road vehicle;27;2002;7;15
0_731424_50;1350;Iron Ore;25;road vehicle;29;2002;7;28
1_731432_21;360;Wood;22;road vehicle;27;2002;8;5
0_731435_5;690;Coal;25;road vehicle;39;2002;8;8
0_731444_51;1839;Iron Ore;60;railway locomotive;50;2002;8;17
0_731451_17;696;Coal;25;road vehicle;39;2002;8;24
1_731451_27;450;Iron Ore;25;road vehicle;29;2002;8;24
0_731452_58;359;Wood;22;road vehicle;27;2002;8;25
0_731470_17;695;Coal;25;road vehicle;39;2002;9;12
0_731473_42;359;Wood;22;road vehicle;27;2002;9;15
0_731478_4;450;Iron Ore;25;road vehicle;29;2002;9;20
0_731488_12;698;Coal;25;road vehicle;39;2002;9;30
1_731490_29;360;Wood;22;road vehicle;27;2002;10;2
0_731491_66;1839;Iron Ore;60;railway locomotive;50;2002;10;3
0_731499_33;360;Wood;22;road vehicle;27;2002;10;11
0_731504_16;4582;Steel;40;railway locomotive;171;2002;10;16
1_731504_55;450;Iron Ore;25;road vehicle;29;2002;10;16
0_731507_30;695;Coal;25;road vehicle;39;2002;10;19
0_731517_60;360;Wood;22;road vehicle;27;2002;10;29
0_731523_24;697;Coal;25;road vehicle;39;2002;11;4
1_731530_0;360;Wood;22;road vehicle;27;2002;11;11
0_731530_73;1860;Iron Ore;60;railway locomotive;50;2002;11;11
0_731533_49;450;Iron Ore;25;road vehicle;29;2002;11;14
0_731542_42;695;Coal;25;road vehicle;39;2002;11;23
1_731543_51;360;Wood;22;road vehicle;27;2002;11;24
0_731558_36;696;Coal;25;road vehicle;39;2002;12;9
0_731560_26;450;Iron Ore;25;road vehicle;29;2002;12;11
1_731560_30;359;Wood;22;road vehicle;27;2002;12;11
0_731576_11;1841;Iron Ore;60;railway locomotive;50;2002;12;27
0_731577_50;360;Wood;22;road vehicle;27;2002;12;28
1_731577_54;695;Coal;25;road vehicle;39;2002;12;28
0_731587_3;450;Iron Ore;25;road vehicle;29;2003;1;7
0_731592_49;4518;Steel;40;railway locomotive;171;2003;1;12
1_731593_48;696;Coal;25;road vehicle;39;2003;1;13
0_731594_31;359;Wood;22;road vehicle;27;2003;1;14
0_731611_69;360;Wood;22;road vehicle;27;2003;1;31
1_731612_66;695;Coal;25;road vehicle;39;2003;2;1
0_731621_2;1844;Iron Ore;60;railway locomotive;50;2003;2;10
1_731621_19;450;Iron Ore;25;road vehicle;29;2003;2;10
0_731628_72;359;Wood;22;road vehicle;27;2003;2;17
0_731633_9;693;Coal;25;road vehicle;39;2003;2;22
0_731647_69;450;Iron Ore;25;road vehicle;29;2003;3;8
1_731648_4;695;Coal;25;road vehicle;39;2003;3;9
0_731652_8;359;Wood;22;road vehicle;27;2003;3;13
0_731663_39;360;Wood;22;road vehicle;27;2003;3;24
1_731665_67;1844;Iron Ore;60;railway locomotive;50;2003;3;26
0_731670_4;695;Coal;25;road vehicle;39;2003;3;31
0_731674_46;450;Iron Ore;25;road vehicle;29;2003;4;4
0_731680_66;360;Wood;22;road vehicle;27;2003;4;10
0_731688_38;4577;Steel;40;railway locomotive;171;2003;4;18
0_731692_27;695;Coal;25;road vehicle;39;2003;4;22
0_731696_11;360;Wood;22;road vehicle;27;2003;4;26
0_731703_40;450;Iron Ore;25;road vehicle;29;2003;5;3
0_731705_16;699;Coal;25;road vehicle;39;2003;5;5
0_731706_59;360;Wood;22;road vehicle;27;2003;5;6
0_731710_70;1846;Iron Ore;60;railway locomotive;50;2003;5;10
0_731723_43;360;Wood;22;road vehicle;27;2003;5;23
0_731727_39;695;Coal;25;road vehicle;39;2003;5;27
0_731730_17;450;Iron Ore;25;road vehicle;29;2003;5;30
0_731733_38;360;Wood;22;road vehicle;27;2003;6;2
0_731740_28;699;Coal;25;road vehicle;39;2003;6;9
0_731750_62;360;Wood;22;road vehicle;27;2003;6;19
0_731755_72;1843;Iron Ore;60;railway locomotive;50;2003;6;24
1_731756_68;450;Iron Ore;25;road vehicle;29;2003;6;25
0_731762_51;695;Coal;25;road vehicle;39;2003;7;1
0_731768_5;360;Wood;22;road vehicle;27;2003;7;7
0_731775_40;698;Coal;25;road vehicle;39;2003;7;14
0_731778_43;4532;Steel;40;railway locomotive;171;2003;7;17
0_731783_45;450;Iron Ore;25;road vehicle;29;2003;7;22
0_731785_29;359;Wood;22;road vehicle;27;2003;7;24
0_731797_63;695;Coal;25;road vehicle;39;2003;8;5
1_731801_0;1843;Iron Ore;60;railway locomotive;50;2003;8;9
0_731802_26;359;Wood;22;road vehicle;27;2003;8;10
0_731808_35;352;Grain;25;road vehicle;25;2003;8;16
0_731810_22;450;Iron Ore;25;road vehicle;29;2003;8;18
0_731819_34;695;Coal;25;road vehicle;39;2003;8;27
1_731819_50;359;Wood;22;road vehicle;27;2003;8;27
0_731831_8;360;Grain;25;road vehicle;25;2003;9;8
1_731831_70;206;Livestock;16;road vehicle;25;2003;9;8
0_731836_73;450;Iron Ore;25;road vehicle;29;2003;9;13
1_731837_7;360;Wood;22;road vehicle;27;2003;9;14
0_731840_65;689;Coal;25;road vehicle;39;2003;9;17
0_731848_52;1839;Iron Ore;60;railway locomotive;50;2003;9;25
0_731852_68;360;Grain;25;road vehicle;25;2003;9;29
2_731853_56;208;Livestock;16;road vehicle;25;2003;9;30
1_731853_71;359;Wood;22;road vehicle;27;2003;9;30
0_731854_45;695;Coal;25;road vehicle;39;2003;10;1
0_731860_18;4585;Steel;40;railway locomotive;171;2003;10;7
0_731871_26;359;Wood;22;road vehicle;27;2003;10;18
1_731872_4;450;Iron Ore;25;road vehicle;29;2003;10;19
0_731874_54;360;Grain;25;road vehicle;25;2003;10;21
1_731875_42;208;Livestock;16;road vehicle;25;2003;10;22
0_731877_60;695;Coal;25;road vehicle;39;2003;10;24
0_731888_52;359;Wood;22;road vehicle;27;2003;11;4
2_731889_56;695;Coal;25;road vehicle;39;2003;11;5
1_731891_2;1853;Iron Ore;60;railway locomotive;50;2003;11;7
0_731896_40;360;Grain;25;road vehicle;25;2003;11;12
1_731897_28;208;Livestock;16;road vehicle;25;2003;11;13
0_731898_54;450;Iron Ore;25;road vehicle;29;2003;11;14
0_731905_65;359;Wood;22;road vehicle;27;2003;11;21
0_731912_72;695;Coal;25;road vehicle;39;2003;11;28
0_731918_26;360;Grain;25;road vehicle;25;2003;12;4
1_731919_14;208;Livestock;16;road vehicle;25;2003;12;5
0_731922_73;359;Wood;22;road vehicle;27;2003;12;8
0_731924_67;695;Coal;25;road vehicle;39;2003;12;10
1_731925_31;450;Iron Ore;25;road vehicle;29;2003;12;11
1_731939_18;208;Livestock;16;road vehicle;25;2003;12;25
0_731939_22;1839;Iron Ore;60;railway locomotive;50;2003;12;25
2_731940_30;359;Wood;22;road vehicle;27;2003;12;26
0_731943_16;360;Grain;25;road vehicle;25;2003;12;29
0_731948_10;695;Coal;25;road vehicle;39;2004;1;3
1_731952_8;450;Iron Ore;25;road vehicle;29;2004;1;7
0_731952_34;4485;Steel;40;railway locomotive;171;2004;1;7
0_731957_40;360;Wood;22;road vehicle;27;2004;1;12
1_731958_14;208;Livestock;16;road vehicle;25;2004;1;13
0_731960_4;695;Coal;25;road vehicle;39;2004;1;15
0_731965_30;360;Grain;25;road vehicle;25;2004;1;20
1_731978_41;208;Livestock;16;road vehicle;25;2004;2;2
0_731978_59;450;Iron Ore;25;road vehicle;29;2004;2;2
1_731983_73;360;Wood;22;road vehicle;27;2004;2;7
0_731984_24;1843;Iron Ore;60;railway locomotive;50;2004;2;8
1_731985_40;360;Wood;22;road vehicle;27;2004;2;9
0_731987_16;360;Grain;25;road vehicle;25;2004;2;11
0_731989_28;690;Coal;25;road vehicle;39;2004;2;13
0_731997_37;208;Livestock;16;road vehicle;25;2004;2;21
0_732003_1;698;Coal;25;road vehicle;39;2004;2;27
0_732005_36;450;Iron Ore;25;road vehicle;29;2004;2;29
0_732009_2;360;Grain;25;road vehicle;25;2004;3;4
0_732011_46;360;Wood;22;road vehicle;27;2004;3;6
0_732013_6;360;Wood;22;road vehicle;27;2004;3;8
0_732016_33;208;Livestock;16;road vehicle;25;2004;3;11
0_732026_41;695;Coal;25;road vehicle;39;2004;3;21
1_732029_16;1849;Iron Ore;60;railway locomotive;50;2004;3;24
0_732030_62;360;Grain;25;road vehicle;25;2004;3;25
0_732034_51;4579;Steel;40;railway locomotive;171;2004;3;29
1_732035_29;208;Livestock;16;road vehicle;25;2004;3;30
0_732037_47;360;Wood;22;road vehicle;27;2004;4;1
1_732038_13;698;Coal;25;road vehicle;39;2004;4;2
0_732041_72;450;Iron Ore;25;road vehicle;29;2004;4;5
0_732045_4;360;Wood;22;road vehicle;27;2004;4;9
0_732052_48;360;Grain;25;road vehicle;25;2004;4;16
0_732054_53;208;Livestock;16;road vehicle;25;2004;4;18
0_732061_53;696;Coal;25;road vehicle;39;2004;4;25
0_732068_49;450;Iron Ore;25;road vehicle;29;2004;5;2
0_732073_25;697;Coal;25;road vehicle;39;2004;5;7
0_732075_18;208;Livestock;16;road vehicle;25;2004;5;9
1_732077_56;1838;Iron Ore;60;railway locomotive;50;2004;5;11
0_732078_50;360;Wood;22;road vehicle;27;2004;5;12
0_732082_6;355;Grain;25;road vehicle;25;2004;5;16
0_732094_42;208;Livestock;16;road vehicle;25;2004;5;28
1_732095_26;450;Iron Ore;25;road vehicle;29;2004;5;29
2_732095_66;360;Wood;22;road vehicle;27;2004;5;29
0_732096_65;696;Coal;25;road vehicle;39;2004;5;30
0_732104_43;360;Wood;22;road vehicle;27;2004;6;7
1_732105_22;360;Grain;25;road vehicle;25;2004;6;8
0_732108_37;696;Coal;25;road vehicle;39;2004;6;11
0_732113_18;4582;Steel;40;railway locomotive;171;2004;6;16
1_732113_38;208;Livestock;16;road vehicle;25;2004;6;16
2_732121_57;360;Wood;22;road vehicle;27;2004;6;24
0_732121_65;3075;Goods;50;railway locomotive;85;2004;6;24
3_732122_3;450;Iron Ore;25;road vehicle;29;2004;6;25
1_732122_58;1843;Iron Ore;60;railway locomotive;50;2004;6;25
0_732127_8;360;Grain;25;road vehicle;25;2004;6;30
0_732131_22;360;Wood;22;road vehicle;27;2004;7;4
1_732132_3;695;Coal;25;road vehicle;39;2004;7;5
0_732140_47;208;Livestock;16;road vehicle;25;2004;7;13
0_732143_49;696;Coal;25;road vehicle;39;2004;7;16
0_732148_54;360;Wood;22;road vehicle;27;2004;7;21
1_732148_54;450;Iron Ore;25;road vehicle;29;2004;7;21
2_732148_68;360;Grain;25;road vehicle;25;2004;7;21
0_732153_33;3153;Goods;50;railway locomotive;85;2004;7;26
0_732159_43;208;Livestock;16;road vehicle;25;2004;8;1
2_732168_53;359;Wood;22;road vehicle;27;2004;8;10
0_732170_37;1837;Iron Ore;60;railway locomotive;50;2004;8;12
1_732170_54;360;Grain;25;road vehicle;25;2004;8;12
0_732173_20;690;Coal;25;road vehicle;39;2004;8;15
0_732175_31;450;Iron Ore;25;road vehicle;29;2004;8;17
0_732178_39;208;Livestock;16;road vehicle;25;2004;8;20
0_732183_19;360;Wood;22;road vehicle;27;2004;8;25
0_732187_49;695;Coal;25;road vehicle;39;2004;8;29
0_732192_40;360;Grain;25;road vehicle;25;2004;9;3
0_732197_35;208;Livestock;16;road vehicle;25;2004;9;8
0_732200_20;359;Wood;22;road vehicle;27;2004;9;11
1_732204_25;450;Iron Ore;25;road vehicle;29;2004;9;15
0_732204_55;4514;Steel;40;railway locomotive;171;2004;9;15
0_732209_23;1858;Iron Ore;60;railway locomotive;50;2004;9;20
1_732210_14;695;Coal;25;road vehicle;39;2004;9;21
0_732217_32;359;Wood;22;road vehicle;27;2004;9;28
1_732220_45;355;Grain;25;road vehicle;25;2004;10;1
0_732221_33;207;Livestock;16;road vehicle;25;2004;10;2
0_732222_61;699;Coal;25;road vehicle;39;2004;10;3
0_732231_2;450;Iron Ore;25;road vehicle;29;2004;10;12
0_732234_59;359;Wood;22;road vehicle;27;2004;10;15
0_732238_32;3640;Goods;58;railway locomotive;85;2004;10;19
0_732242_31;360;Grain;25;road vehicle;25;2004;10;23
1_732243_19;208;Livestock;16;road vehicle;25;2004;10;24
0_732245_26;695;Coal;25;road vehicle;39;2004;10;26
0_732252_17;359;Wood;22;road vehicle;27;2004;11;2
0_732257_53;450;Iron Ore;25;road vehicle;29;2004;11;7
1_732257_73;698;Coal;25;road vehicle;39;2004;11;7
0_732261_7;1826;Iron Ore;60;railway locomotive;50;2004;11;11
0_732266_7;360;Grain;25;road vehicle;25;2004;11;16
1_732268_33;208;Livestock;16;road vehicle;25;2004;11;18
0_732270_2;3662;Goods;58;railway locomotive;85;2004;11;20
0_732277_45;359;Wood;22;road vehicle;27;2004;11;27
0_732280_38;695;Coal;25;road vehicle;39;2004;11;30
0_732284_30;450;Iron Ore;25;road vehicle;29;2004;12;4
0_732286_36;359;Wood;22;road vehicle;27;2004;12;6
0_732287_67;360;Grain;25;road vehicle;25;2004;12;7
0_732290_61;4492;Steel;40;railway locomotive;171;2004;12;10
1_732290_68;208;Livestock;16;road vehicle;25;2004;12;10
0_732293_11;698;Coal;25;road vehicle;39;2004;12;13
0_732301_46;3656;Goods;58;railway locomotive;85;2004;12;21
0_732303_56;360;Wood;22;road vehicle;27;2004;12;23
0_732309_53;360;Grain;25;road vehicle;25;2004;12;29
0_732311_7;450;Iron Ore;25;road vehicle;29;2004;12;31
2_732311_33;208;Livestock;16;road vehicle;25;2004;12;31
1_732312_65;1828;Iron Ore;60;railway locomotive;50;2005;1;1
0_732315_50;695;Coal;25;road vehicle;39;2005;1;4
0_732321_1;360;Wood;22;road vehicle;27;2005;1;10
0_732328_23;697;Coal;25;road vehicle;39;2005;1;17
0_732331_39;360;Grain;25;road vehicle;25;2005;1;20
1_732332_27;208;Livestock;16;road vehicle;25;2005;1;21
0_732338_15;359;Wood;22;road vehicle;27;2005;1;27
1_732340_5;3662;Goods;58;railway locomotive;85;2005;1;29
0_732344_55;450;Iron Ore;25;road vehicle;29;2005;2;2
0_732353_25;360;Grain;25;road vehicle;25;2005;2;11
1_732354_13;208;Livestock;16;road vehicle;25;2005;2;12
0_732358_31;359;Wood;22;road vehicle;27;2005;2;16
0_732360_22;695;Coal;25;road vehicle;39;2005;2;18
0_732364_59;1829;Iron Ore;60;railway locomotive;50;2005;2;22
1_732365_72;696;Coal;25;road vehicle;39;2005;2;23
0_732372_54;360;Wood;22;road vehicle;27;2005;3;2
1_732373_49;450;Iron Ore;25;road vehicle;29;2005;3;3
0_732375_11;360;Grain;25;road vehicle;25;2005;3;5
2_732375_73;208;Livestock;16;road vehicle;25;2005;3;5
1_732376_68;4579;Steel;40;railway locomotive;171;2005;3;6
0_732379_60;3607;Goods;58;railway locomotive;85;2005;3;9
0_732389_72;360;Wood;22;road vehicle;27;2005;3;19
0_732395_34;695;Coal;25;road vehicle;39;2005;3;25
0_732398_45;360;Wood;22;road vehicle;27;2005;3;28
0_732400_26;450;Iron Ore;25;road vehicle;29;2005;3;30
1_732401_10;696;Coal;25;road vehicle;39;2005;3;31
0_732404_67;355;Grain;25;road vehicle;25;2005;4;3
1_732405_55;204;Livestock;16;road vehicle;25;2005;4;4
0_732413_25;1838;Iron Ore;60;railway locomotive;50;2005;4;12
1_732413_72;3655;Goods;58;railway locomotive;85;2005;4;12
0_732415_63;360;Wood;22;road vehicle;27;2005;4;14
0_732425_2;208;Livestock;16;road vehicle;25;2005;4;24
1_732425_42;359;Wood;22;road vehicle;27;2005;4;24
1_732427_3;450;Iron Ore;25;road vehicle;29;2005;4;26
0_732427_72;3655;Goods;58;railway locomotive;85;2005;4;26
1_732428_65;360;Grain;25;road vehicle;25;2005;4;27
0_732430_46;695;Coal;25;road vehicle;39;2005;4;29
0_732436_22;695;Coal;25;road vehicle;39;2005;5;5
0_732441_54;360;Wood;22;road vehicle;27;2005;5;10
0_732445_49;3622;Goods;58;railway locomotive;85;2005;5;14
0_732447_29;208;Livestock;16;road vehicle;25;2005;5;16
0_732451_38;360;Grain;25;road vehicle;25;2005;5;20
0_732453_5;359;Wood;22;road vehicle;27;2005;5;22
1_732453_54;450;Iron Ore;25;road vehicle;29;2005;5;22
2_732454_62;4554;Steel;40;railway locomotive;171;2005;5;23
0_732465_9;1829;Iron Ore;60;railway locomotive;50;2005;6;3
0_732466_25;208;Livestock;16;road vehicle;25;2005;6;4
1_732467_45;360;Wood;22;road vehicle;27;2005;6;5
0_732471_0;3640;Goods;58;railway locomotive;85;2005;6;9
0_732472_27;690;Coal;25;road vehicle;39;2005;6;10
1_732473_24;360;Grain;25;road vehicle;25;2005;6;11
0_732473_71;695;Coal;25;road vehicle;39;2005;6;11
0_732480_31;450;Iron Ore;25;road vehicle;29;2005;6;18
0_732483_33;359;Wood;22;road vehicle;27;2005;6;21
0_732485_21;208;Livestock;16;road vehicle;25;2005;6;23
0_732494_62;359;Wood;22;road vehicle;27;2005;7;2
1_732495_10;360;Grain;25;road vehicle;25;2005;7;3
0_732504_17;208;Livestock;16;road vehicle;25;2005;7;12
1_732506_56;1858;Iron Ore;60;railway locomotive;50;2005;7;14
0_732507_57;695;Coal;25;road vehicle;39;2005;7;15
0_732509_18;695;Coal;25;road vehicle;39;2005;7;17
1_732509_44;3539;Goods;58;railway locomotive;85;2005;7;17
0_732514_57;450;Iron Ore;25;road vehicle;29;2005;7;22
0_732516_70;360;Grain;25;road vehicle;25;2005;7;24
0_732521_36;360;Wood;22;road vehicle;27;2005;7;29
0_732523_13;208;Livestock;16;road vehicle;25;2005;7;31
0_732535_4;360;Wood;22;road vehicle;27;2005;8;12
0_732538_56;360;Grain;25;road vehicle;25;2005;8;15
0_732542_37;208;Livestock;16;road vehicle;25;2005;8;19
1_732543_51;450;Iron Ore;25;road vehicle;29;2005;8;20
2_732544_60;695;Coal;25;road vehicle;39;2005;8;21
0_732545_67;3527;Goods;58;railway locomotive;85;2005;8;22
0_732549_19;360;Wood;22;road vehicle;27;2005;8;26
0_732550_56;697;Coal;25;road vehicle;39;2005;8;27
1_732552_13;4546;Steel;40;railway locomotive;171;2005;8;29
0_732555_2;1839;Iron Ore;60;railway locomotive;50;2005;9;1
0_732562_48;208;Livestock;16;road vehicle;25;2005;9;8
1_732563_7;359;Wood;22;road vehicle;27;2005;9;9
0_732566_49;355;Grain;25;road vehicle;25;2005;9;12
0_732569_54;3566;Goods;58;railway locomotive;85;2005;9;15
1_732570_28;450;Iron Ore;25;road vehicle;29;2005;9;16
0_732576_56;359;Wood;22;road vehicle;27;2005;9;22
0_732579_72;695;Coal;25;road vehicle;39;2005;9;25
1_732585_68;697;Coal;25;road vehicle;39;2005;10;1
0_732586_22;3654;Goods;58;railway locomotive;85;2005;10;2
0_732590_21;360;Grain;25;road vehicle;25;2005;10;6
1_732590_44;359;Wood;22;road vehicle;27;2005;10;6
2_732591_9;208;Livestock;16;road vehicle;25;2005;10;7
0_732596_40;1850;Iron Ore;60;railway locomotive;50;2005;10;12
1_732597_5;450;Iron Ore;25;road vehicle;29;2005;10;13
0_732604_39;359;Wood;22;road vehicle;27;2005;10;20
0_732612_7;360;Grain;25;road vehicle;25;2005;10;28
1_732612_68;208;Livestock;16;road vehicle;25;2005;10;28
0_732618_47;359;Wood;22;road vehicle;27;2005;11;3
0_732622_44;690;Coal;25;road vehicle;39;2005;11;7
1_732623_56;450;Iron Ore;25;road vehicle;29;2005;11;8
0_732624_14;695;Coal;25;road vehicle;39;2005;11;9
0_732629_59;3572;Goods;58;railway locomotive;85;2005;11;14
0_732633_67;360;Grain;25;road vehicle;25;2005;11;18
1_732634_55;208;Livestock;16;road vehicle;25;2005;11;19
0_732635_33;359;Wood;22;road vehicle;27;2005;11;20
1_732637_14;4479;Steel;40;railway locomotive;171;2005;11;22
0_732641_42;1843;Iron Ore;60;railway locomotive;50;2005;11;26
1_732643_29;6998;Steel;60;electrified railway locomotive;171;2005;11;28
0_732650_33;450;Iron Ore;25;road vehicle;29;2005;12;5
1_732653_9;3620;Goods;58;railway locomotive;85;2005;12;8
0_732654_43;360;Wood;22;road vehicle;27;2005;12;9
